Year,Distance,Engine_capacity(cm3),km_year
2013,181969,1995,20218
2005,260000,2200,15294
2014,60000,2000,7500
2002,223000,1900,11150
2018,59341,2200,14835
2016,158200,1500,26366
2010,191000,1400,15916
2007,115000,1400,7666
2017,37000,1600,7400
2003,255000,1600,13421
2015,99660,1500,14237
2018,105133,2000,26283
2001,230000,3000,10952
2016,37000,1600,6166
2002,322000,2685,16100
2004,330000,1995,18333
2008,260000,1968,18571
2018,123000,1582,30750
1997,145000,1400,5800
2010,177000,1400,14750
2012,166358,1200,16635
2003,248000,1781,13052
2011,270000,1600,24545
2017,93000,2000,18600
2008,36696,1300,2621
1996,20000,2000,769
2012,188000,2400,18800
2005,130000,1090,7647
2014,116000,1600,14500
1996,25488,2200,980
2018,145000,1500,36250
2016,50000,1950,8333
2012,230000,1800,23000
2013,203000,1500,22555
2014,145101,2000,18137
2011,36000,1598,3272
2017,45000,1600,9000
2005,372000,3000,21882
2010,171000,1300,14250
2006,190000,1400,11875
2005,286000,1400,16823
2011,110000,4200,10000
2021,2000,2199,2000
2011,134000,1400,12181
2004,200000,1500,11111
2017,45000,1600,9000
2013,110000,1800,12222
2013,144244,1200,16027
2013,240000,1500,26666
2012,71000,1400,7100
2010,177429,1400,14785
1993,300000,2000,10344
2018,78000,1995,19500
2009,170000,1400,13076
2007,335166,2000,22344
2014,195700,2000,24462
2015,25000,1800,3571
2009,285000,1400,21923
1994,310000,1600,11071
2015,145000,2000,20714
2011,11111,3000,1010
2012,140000,2990,14000
2012,170000,2000,17000
2009,149871,1400,11528
2011,187000,1400,17000
2004,175320,1500,9740
2012,215211,2000,21521
2007,185000,1600,12333
2013,160000,2200,17777
2012,230000,2000,23000
2015,150000,1995,21428
2015,154000,1500,22000
2006,130000,1300,8125
2008,190000,1400,13571
2017,76300,4200,15260
2008,234700,1800,16764
2014,150000,1500,18750
1999,20000,1800,869
2005,285000,1400,16764
1998,11111,2500,462
2005,125000,1400,7352
2001,230000,1900,10952
2007,185000,1400,12333
2007,295000,2000,19666
2000,400000,2300,18181
2008,243000,1500,17357
2005,192000,1600,11294
2007,225715,2000,15047
2012,165000,2190,16500
2010,190902,1400,15908
2004,246017,2000,13667
2012,84000,2200,8400
2011,177863,1796,16169
2014,103000,2000,12875
2008,211000,1600,15071
2010,437648,2400,36470
2013,169543,2000,18838
2010,189000,1500,15750
2011,199171,2000,18106
2012,94000,2000,9400
2012,150000,1461,15000
2010,160244,1400,13353
1982,179952,1600,4498
2013,138000,2000,15333
2007,19600,1600,1306
2012,87000,3000,8700
1995,189101,1600,7003
2015,90000,2000,12857
2009,229000,2400,17615
2018,53000,1500,13250
2010,180898,1300,15074
1996,300000,1999,11538
2015,70000,1400,10000
2005,311249,3000,18308
2007,171711,1400,11447
2006,228000,1400,14250
2017,45000,1400,9000
2016,55000,3000,9166
2009,285000,1400,21923
2003,223000,3000,11736
1996,270000,2000,10384
2005,290000,2500,17058
2014,127000,1500,15875
2010,54500,1600,4541
2008,180000,1500,12857
2015,41000,4400,5857
2014,130000,1582,16250
2003,230000,1800,12105
2012,136000,2200,13600
2011,189000,1248,17181
1997,297000,2000,11880
1988,103500,1600,3044
2010,290000,2200,24166
2008,239745,2405,17124
2010,230000,2000,19166
2015,122188,1995,17455
2005,130000,2400,7647
2011,290000,1300,26363
1996,111111,1800,4273
2004,300000,1400,16666
1996,350653,1600,13486
2003,230000,1998,12105
2009,233400,3000,17953
2002,360000,2151,18000
2010,186000,1300,15500
2007,202994,1400,13532
2010,320000,1989,26666
2002,440000,3000,22000
1990,321557,2300,10048
2020,25500,2500,12750
2017,50000,2000,10000
1992,400000,2000,13333
2012,189000,2000,18900
2002,543500,2000,27175
2013,139000,1400,15444
2009,286000,1500,22000
2012,111555,1200,11155
2011,168000,1500,15272
1990,300000,2000,9375
2013,205198,2000,22799
2004,123000,2000,6833
1994,220000,2000,7857
2016,22300,2198,3716
2006,152907,1400,9556
1998,362000,1900,15083
1997,370000,1600,14800
2017,87580,2000,17516
2018,29000,1998,7250
2005,200000,2000,11764
2016,51000,1498,8500
2008,200000,800,14285
2017,52209,2000,10441
2001,404765,3222,19274
2005,265432,1500,15613
2007,133500,1400,8900
2004,325000,3000,18055
2013,158000,1500,17555
2010,200000,1400,16666
2006,234921,1500,14682
2009,212000,1400,16307
2008,220000,1800,15714
2008,203644,1500,14546
2003,22000,3000,1157
2010,12541,3000,1045
2005,150000,1599,8823
2014,23500,999,2937
1996,254000,2000,9769
2016,123000,2000,20500
2004,198000,1398,11000
2009,230654,1800,17742
2007,221104,1422,14740
2008,184000,1800,13142
2010,89000,1400,7416
2010,105000,2000,8750
2013,176000,2000,19555
2007,159000,2000,10600
2018,93700,1500,23425
2013,82000,2000,9111
2011,195764,1500,17796
2014,73000,2500,9125
2018,157000,1995,39250
2017,84000,2000,16800
2007,300000,2200,20000
2006,190533,1400,11908
2016,141000,1500,23500
2013,148000,1400,16444
1990,111111,1000,3472
2013,189000,2200,21000
2016,85000,2000,14166
1989,78000,1500,2363
2016,65000,1798,10833
1999,350000,2800,15217
2006,220000,1400,13750
2016,40000,3000,6666
2014,225000,1600,28125
2011,173000,1400,15727
2011,161521,2000,14683
2010,74000,1200,6166
2016,65000,2000,10833
2018,75000,1950,18750
2018,200000,1500,50000
2015,70000,1400,10000
2011,170000,1200,15454
2011,190600,1500,17327
2003,270000,1900,14210
2004,300000,2000,16666
2007,200000,1422,13333
2012,213000,1390,21300
2016,176000,1200,29333
2005,130000,3300,7647
2002,201000,3000,10050
1997,269665,1600,10786
2015,155700,1500,22242
1997,400000,2369,16000
2013,89000,1600,9888
2007,240000,3000,16000
1994,165000,1991,5892
2018,59000,1500,14750
2012,188000,2000,18800
2015,154000,2000,22000
2016,164000,1800,27333
2011,115000,3600,10454
2017,39000,900,7800
2014,147000,2000,18375
2016,45000,4500,7500
2018,42000,3500,10500
2016,184000,2000,30666
2013,150000,1800,16666
2012,151000,1400,15100
2005,232000,1600,13647
2014,245000,2000,30625
2006,225000,1900,14062
2013,292850,2200,32538
2011,380000,2200,34545
2015,82903,2000,11843
2010,182000,2200,15166
2016,78722,1500,13120
2017,42700,1999,8540
2006,219000,1900,13687
2008,318252,1500,22732
1998,10000,2000,416
2016,185000,1500,30833
1993,400000,2000,13793
2019,99808,2000,33269
2005,190000,2500,11176
2014,175060,1685,21882
2015,78000,2000,11142
2017,64000,1800,12800
2009,362000,1400,27846
2001,300000,2500,14285
2017,44000,1400,8800
2003,124252,2000,6539
2009,187000,1400,14384
1987,220000,2597,6285
2012,200000,1500,20000
2013,88800,2200,9866
2001,299000,2000,14238
2012,214000,1461,21400
2010,177429,1400,14785
2008,135000,2000,9642
1993,100650,1600,3470
2006,330000,2199,20625
2005,310000,1600,18235
2006,214567,2200,13410
2019,29000,2000,9666
2014,156000,1600,19500
2018,12000,2995,3000
2011,180000,1400,16363
1998,250000,1200,10416
2011,143296,1800,13026
2000,317000,1600,14409
2010,180000,1800,15000
2006,266000,1500,16625
2017,100565,1500,20113
2008,185546,2500,13253
1979,89000,1600,2069
2014,286250,3000,35781
2016,147000,2268,24500
2013,164927,2000,18325
2001,249000,1996,11857
2004,270000,1600,15000
2016,63000,3000,10500
2009,138500,1794,10653
2013,135000,3500,15000
1995,350000,1500,12962
2009,186800,1300,14369
2015,93000,1200,13285
2007,225000,1600,15000
2009,232000,1800,17846
2011,141000,1400,12818
2011,200000,2000,18181
2005,240000,1600,14117
2016,58128,1200,9688
2015,204745,1500,29249
2005,191000,1600,11235
2001,250000,1800,11904
1991,800000,1300,25806
1994,280000,1400,10000
2013,203000,1400,22555
2012,253655,900,25365
1995,119119,1800,4411
2017,80370,2359,16074
2016,80000,1600,13333
2005,410000,3000,24117
2017,141200,1500,28240
2004,344423,2200,19134
2019,3400,1500,1133
2006,300000,1400,18750
1998,99999,1900,4166
2018,55000,2000,13750
2014,148800,1995,18600
2006,141000,1500,8812
2011,339329,1300,30848
2008,198000,2000,14142
2012,159921,1467,15992
2018,93000,3000,23250
2013,179000,2000,19888
2008,189000,1500,13500
2006,252222,2000,15763
2010,160000,1400,13333
2020,5000,1999,2500
2012,11111,2000,1111
2015,191645,1200,27377
2010,125000,2000,10416
2007,544444,1500,36296
2008,102000,1400,7285
2005,243000,1400,14294
2008,215487,2000,15391
1990,77777,2003,2430
2006,220000,1589,13750
2003,287000,1598,15105
2017,81000,2000,16200
2012,136454,1300,13645
2011,208771,1800,18979
2016,91000,1600,15166
2002,250000,1800,12500
2018,150000,1500,37500
2007,269000,2500,17933
2004,135000,1800,7500
2012,100000,1800,10000
2010,260000,1500,21666
2014,237000,1498,29625
2018,50000,2000,12500
2016,129000,2199,21500
2005,574000,2200,33764
2011,181236,1400,16476
2015,238850,2400,34121
2014,112000,1800,14000
2008,267848,3200,19132
2008,315000,3000,22500
2000,300000,1580,13636
2012,185000,2400,18500
2014,102000,1200,12750
2015,104500,2000,14928
2008,237000,1898,16928
2009,253000,1400,19461
2012,180000,1500,18000
1996,290000,1800,11153
2017,109200,1500,21840
1984,200000,1800,5263
2008,238000,2000,17000
2010,1206,1300,100
2003,198000,2000,10421
2007,85000,1100,5666
2018,59000,1500,14750
2008,155676,1400,11119
2009,191000,1400,14692
2000,285000,2500,12954
2001,180000,1900,8571
2009,163000,1300,12538
2018,31700,1591,7925
2006,155300,1422,9706
2009,151000,1364,11615
1995,25413,1500,941
2014,199000,2143,24875
2017,115494,1500,23098
2010,220000,1500,18333
2011,187000,1498,17000
2014,215000,2000,26875
2007,228000,1500,15200
2014,112414,1500,14051
2012,215000,2400,21500
2000,100000,1900,4545
2011,210000,1400,19090
2008,209000,1490,14928
2016,92000,2000,15333
2012,88200,1200,8820
2016,40000,3000,6666
2005,216000,1399,12705
2006,210000,1800,13125
2017,37000,1600,7400
1992,280000,1780,9333
2008,114000,998,8142
2003,266000,1461,14000
2008,230000,1400,16428
2015,143000,1500,20428
2018,63641,1500,15910
2016,165000,1500,27500
2004,226500,1400,12583
2010,220000,3000,18333
2006,175888,1600,10993
2010,180000,1200,15000
2007,343445,1400,22896
2012,123000,1600,12300
2003,250000,1800,13157
2014,124000,2500,15500
2017,148000,1500,29600
2004,220555,3000,12253
2017,62000,2000,12400
2006,190533,1500,11908
2013,98000,1396,10888
2016,190000,1461,31666
1996,35000,1800,1346
2015,211125,2000,30160
2006,200000,1500,12500
2008,259000,1600,18500
2005,300000,1997,17647
2013,88563,898,9840
2013,160000,2000,17777
2011,126000,2200,11454
1983,140000,1800,3589
1993,270000,1500,9310
2014,95500,2200,11937
2006,271000,1400,16937
2007,262000,1900,17466
2017,125450,1500,25090
2002,285090,3000,14254
2007,236000,1896,15733
2005,245800,3000,14458
2014,214000,1500,26750
2003,321000,2700,16894
2004,296000,2500,16444
2005,365000,2199,21470
2005,197000,1500,11588
2004,268442,1900,14913
2017,62000,1500,12400
2014,123850,1200,15481
2011,157799,2000,14345
2012,166000,1461,16600
2003,320000,1900,16842
2008,230000,1800,16428
1993,129000,1600,4448
2005,216000,1400,12705
2009,130000,1400,10000
2009,170000,3200,13076
2016,162000,2000,27000
2003,430000,2000,22631
2002,225500,1800,11275
1994,99999,2500,3571
1995,117000,1600,4333
2005,200000,1795,11764
2005,197057,1898,11591
2007,237450,1800,15830
2016,144300,1500,24050
2014,112580,1200,14072
2006,261250,2200,16328
2011,224257,1400,20387
2021,2000,1598,2000
1993,301300,1600,10389
2016,152000,1500,25333
1999,256000,2500,11130
2003,263518,2200,13869
2014,107000,2143,13375
2008,111000,1600,7928
2019,56000,2000,18666
2012,187000,2500,18700
1998,200000,2000,8333
2003,31000,2800,1631
2003,738502,1500,38868
2017,125450,1500,25090
2015,145545,1600,20792
2013,150609,1400,16734
2016,50000,1950,8333
1999,330000,1900,14347
2000,232000,2000,10545
2013,75000,1997,8333
2013,121000,2000,13444
2005,189000,2000,11117
2009,190000,1600,14615
2011,180000,1796,16363
2018,77800,1999,19450
2018,57386,1500,14346
2016,55000,1998,9166
2008,192000,1300,13714
2005,285000,1400,16764
2006,145000,2400,9062
2015,154000,1600,22000
2010,117000,3000,9750
2007,285000,1395,19000
2003,218233,1900,11485
2009,199263,1339,15327
2019,24000,3000,8000
2011,72000,1400,6545
2016,116914,1500,19485
2004,180000,1995,10000
2014,62500,1498,7812
2013,179000,1800,19888
2000,245000,3000,11136
2014,101141,2000,12642
1987,290000,1800,8285
2013,210000,1500,23333
2011,98000,1400,8909
2009,188000,2000,14461
1994,196500,2000,7017
2018,34755,2500,8688
1996,311000,2500,11961
2015,144000,2000,20571
2005,234034,4000,13766
2006,191000,2000,11937
2017,27700,2000,5540
2000,165000,1898,7500
2013,156000,1500,17333
2006,55542,1600,3471
2008,250000,1500,17857
2013,190000,3500,21111
2015,104000,1800,14857
2010,79000,1800,6583
2005,185000,1600,10882
2017,186000,1600,37200
2015,147585,2000,21083
2004,340000,2000,18888
2009,230000,2000,17692
2007,366868,2720,24457
2006,120000,2000,7500
2007,263000,3200,17533
2013,141000,1400,15666
2001,234286,2500,11156
2002,210000,1378,10500
2014,136000,3000,17000
1997,190000,1800,7600
2007,132000,1400,8800
2004,284200,1500,15788
2016,162000,1600,27000
2015,205000,3000,29285
2018,94025,1500,23506
2004,221000,1900,12277
2011,89000,1400,8090
2010,180000,1400,15000
2010,290000,2200,24166
2014,232000,1600,29000
2015,67000,1300,9571
2007,320000,1500,21333
2003,161952,3000,8523
2011,139500,1400,12681
2011,205000,1500,18636
2019,3514,2000,1171
2012,195000,2400,19500
2012,145000,1400,14500
2007,200000,1600,13333
2017,45000,1600,9000
2004,223540,1200,12418
2005,230500,1400,13558
2013,182000,1999,20222
2014,80000,1398,10000
2004,270000,1400,15000
2008,235000,1500,16785
2013,170000,2200,18888
2017,95000,2000,19000
2008,177000,2400,12642
2009,201000,1400,15461
2016,82236,2000,13706
2006,145000,1500,9062
2018,150000,1800,37500
2004,264000,1995,14666
2014,102767,1500,12845
2006,75000,2700,4687
2000,316000,1600,14363
2012,178900,1600,17890
2012,52000,1987,5200
2005,240000,1388,14117
2020,17000,2000,8500
2011,161000,1400,14636
2011,130000,1800,11818
2015,142000,3000,20285
2014,220000,1600,27500
2005,330000,2000,19411
2013,190000,1800,21111
2016,62000,2000,10333
2012,181000,1200,18100
2015,174000,1500,24857
2016,83400,1500,13900
2004,300000,1900,16666
2006,290000,3000,18125
2011,166984,1500,15180
2000,225000,3200,10227
2015,62000,2000,8857
2015,80000,1800,11428
2010,235000,1600,19583
2002,200000,1500,10000
1992,325000,1785,10833
2005,132500,2000,7794
2012,69000,1600,6900
2012,87191,2494,8719
1990,370000,3000,11562
2010,205000,1400,17083
2019,44000,1460,14666
2012,295000,1800,29500
2004,235000,2400,13055
2012,123000,2000,12300
2011,219000,1300,19909
2005,178000,1968,10470
2016,88209,2000,14701
2018,33000,1800,8250
2001,150000,2000,7142
2011,156000,2000,14181
2019,9000,2500,3000
2008,257000,2200,18357
2004,279252,1400,15514
2005,167000,1400,9823
2011,190000,1300,17272
2011,215000,2000,19545
1992,330000,1468,11000
2018,143756,2000,35939
2017,129700,1500,25940
2019,37000,1995,12333
2013,225000,1396,25000
1996,256652,1600,9871
2013,118000,1000,13111
2018,39188,1600,9797
2000,85000,1000,3863
2001,300000,1900,14285
2018,26000,1960,6500
2015,150000,1400,21428
2015,190000,1400,27142
2012,207184,1598,20718
2000,123456,2500,5611
2002,280000,2000,14000
2016,142233,2200,23705
2007,194000,2498,12933
2001,400000,2485,19047
2015,86000,1999,12285
2005,260000,2000,15294
2005,102000,1300,6000
2018,140500,1500,35125
2007,200000,1560,13333
2014,136000,3000,17000
1995,333000,1998,12333
2015,135000,2000,19285
2014,157633,1396,19704
2006,219000,2000,13687
2015,160524,2000,22932
2015,159000,1400,22714
2005,420000,3000,24705
2012,154000,1400,15400
2016,70000,1400,11666
1993,80000,1300,2758
2005,280000,2200,16470
2012,162000,1800,16200
2015,149121,1400,21303
1991,200000,1300,6451
2013,102600,2000,11400
2010,220000,1500,18333
2013,152000,2000,16888
2011,155000,1400,14090
2006,122000,3000,7625
2005,209948,1500,12349
2016,192000,2500,32000
1991,280000,1400,9032
2012,150000,1400,15000
2016,84000,2000,14000
2010,161664,1789,13472
2018,75562,2000,18890
1997,255800,2000,10232
2001,190000,1200,9047
2012,290000,3500,29000
2008,220000,1500,15714
2010,151000,1600,12583
2011,167000,1400,15181
2004,156000,1400,8666
2005,98000,1600,5764
2012,189000,1500,18900
2018,96000,2900,24000
2011,178119,2149,16192
2004,210450,1500,11691
2003,435000,1600,22894
2015,118000,1200,16857
2007,200000,1561,13333
2015,125000,1800,17857
2009,185000,1500,14230
1994,298413,2000,10657
2017,122000,3000,24400
2005,195635,1600,11507
2011,170200,1200,15472
2006,240000,3000,15000
1999,290000,4600,12608
2020,15597,1968,7798
2018,47000,1500,11750
2005,235000,2700,13823
2007,200000,1500,13333
2013,168000,2000,18666
2014,82260,1600,10282
2012,242000,1500,24200
1988,201739,1595,5933
2014,92000,1400,11500
2018,29000,3490,7250
1991,135000,1289,4354
2015,7800,1600,1114
2000,185000,1900,8409
2008,398680,2500,28477
2013,138000,2000,15333
2005,360000,1242,21176
2016,123000,2200,20500
2016,70188,2000,11698
2008,270000,2148,19285
2015,110300,1500,15757
2006,350000,1900,21875
2004,115600,1061,6422
2018,71000,3000,17750
2005,240000,1400,14117
1997,275055,2400,11002
1995,250000,2000,9259
2016,50000,1950,8333
2011,215000,1800,19545
2016,40000,3000,6666
2009,210000,2200,16153
2006,295000,3000,18437
2003,180000,2000,9473
2013,175802,2000,19533
2019,27100,1998,9033
1991,355986,1600,11483
2009,290000,2000,22307
2020,14000,2151,7000
2010,140000,1100,11666
2005,285000,1900,16764
2012,96980,4400,9698
2000,437000,2200,19863
2005,170000,1400,10000
2002,299000,1400,14950
2011,185000,1400,16818
2018,39000,2500,9750
2018,90900,1500,22725
2012,174150,1500,17415
2005,230000,1800,13529
2012,500000,1555,50000
2011,150000,1600,13636
1994,310000,1600,11071
2012,121000,3569,12100
2012,260000,3500,26000
1994,156052,1800,5573
2018,52000,1600,13000
2009,126000,1800,9692
2008,123456,1500,8818
2015,32000,2400,4571
2005,320000,2000,18823
2013,169000,3000,18777
2017,137500,1500,27500
2008,168205,3600,12014
1986,158000,2200,4388
2004,290000,1800,16111
2008,200000,2000,14285
2008,386000,2200,27571
2001,135000,2000,6428
2007,200000,2000,13333
1994,304000,1600,10857
2005,280294,2000,16487
2010,245000,3000,20416
2015,234581,1396,33511
2010,160000,1000,13333
1996,320000,2500,12307
1997,150000,3000,6000
2004,265000,1500,14722
2011,178000,2400,16181
2014,172000,1500,21500
2012,150810,1800,15081
2001,280000,1600,13333
2018,54000,1500,13500
1992,333000,1400,11100
2004,180000,1400,10000
2015,120000,2000,17142
2009,18099,1500,1392
2005,260500,3000,15323
2015,171000,1400,24428
2013,111000,2000,12333
2003,260013,1600,13684
2011,45000,2000,4090
2009,255217,1400,19632
2013,231813,1400,25757
2008,153000,796,10928
2004,350000,2400,19444
2016,102000,2000,17000
2013,139000,1400,15444
1990,23000,1184,718
2016,64000,2000,10666
2013,106753,1200,11861
2012,143000,2000,14300
2010,369500,1800,30791
2008,123000,1300,8785
2006,298084,2500,18630
1994,11111,1600,396
2002,234567,800,11728
2015,125000,2200,17857
2010,265000,2143,22083
2017,94000,2000,18800
2006,190533,1900,11908
2018,10000,1400,2500
2000,191000,1800,8681
1994,280000,2000,10000
2016,70000,1400,11666
2015,174500,1396,24928
2008,213000,2700,15214
2009,120000,2400,9230
2006,190000,1600,11875
2014,160000,1999,20000
2012,119000,1500,11900
1999,524818,2000,22818
2011,175000,1200,15909
1997,250000,2000,10000
2000,245000,1600,11136
2016,88000,1400,14666
2016,56800,1998,9466
1999,120000,1600,5217
2008,180000,2200,12857
2000,400000,2200,18181
2001,350000,3000,16666
2017,45000,1600,9000
2017,140408,2400,28081
2011,180000,1400,16363
2017,144106,1500,28821
2003,350000,1900,18421
2005,122000,1900,7176
2011,189000,1248,17181
2011,142807,1339,12982
2017,20000,2000,4000
2003,78000,1300,4105
2005,260000,1400,15294
2009,142568,1600,10966
2018,57330,1500,14332
2012,180000,1800,18000
1983,150000,1600,3846
2017,130000,2000,26000
2012,202135,1500,20213
2014,189000,1598,23625
2014,220000,1600,27500
2003,265000,2690,13947
2010,172000,1400,14333
2013,197000,1400,21888
2017,50452,2000,10090
2003,123456,3000,6497
2013,230000,1200,25555
2004,130000,2500,7222
2007,181000,2000,12066
1999,30000,2200,1304
2005,300000,2500,17647
1999,200000,2500,8695
2006,258000,1390,16125
2012,180000,1400,18000
2005,125000,1800,7352
2012,219000,1600,21900
2014,181410,2000,22676
2008,128259,1300,9161
1995,11111,2000,411
2011,150000,2200,13636
2005,260000,1997,15294
2007,305988,1400,20399
2015,45000,2000,6428
2008,283000,2200,20214
2003,320000,2200,16842
2008,130000,800,9285
2012,256504,1800,25650
2000,328000,2496,14909
2014,193000,1422,24125
2009,190000,1800,14615
2010,201400,1400,16783
2004,300000,1800,16666
2016,147919,1999,24653
2009,180000,2362,13846
2007,300000,3000,20000
2011,140598,1984,12781
2010,149000,1300,12416
2014,172000,1461,21500
2016,97500,1800,16250
2004,294878,1900,16382
2015,240000,2500,34285
2011,117000,1200,10636
2009,214823,1500,16524
2010,242000,1500,20166
2007,233147,1400,15543
1993,320000,2000,11034
2016,156000,1500,26000
2004,133528,3700,7418
2008,215000,1300,15357
2000,56666,1500,2575
2017,41500,1600,8300
2011,170000,1200,15454
2012,199000,2000,19900
1990,555555,1500,17361
2005,256010,2461,15059
2006,272000,1800,17000
2015,47000,2200,6714
2013,26000,1800,2888
1982,213200,2800,5330
2013,144788,2200,16087
2006,69143,1900,4321
2013,197710,1395,21967
2005,11111,1500,653
1989,10000,1400,303
2019,114000,1500,38000
2005,216700,2000,12747
1988,999999,2000,29411
2012,183000,1400,18300
2011,166000,2000,15090
2008,180000,1300,12857
2007,80000,1600,5333
2007,130123,1200,8674
2006,242000,2000,15125
2015,96000,1200,13714
2015,120000,2200,17142
2001,203000,1900,9666
2004,343150,3222,19063
2012,127000,2000,12700
2004,350000,2200,19444
2011,189000,1500,17181
2007,250000,1400,16666
2009,221000,1400,17000
2017,135000,1400,27000
2009,200000,1800,15384
2015,175000,1400,25000
2015,147000,2400,21000
2012,169880,2200,16988
2018,50000,1400,12500
2008,360000,2148,25714
2015,156000,1500,22285
1994,302000,1375,10785
2012,20016,1500,2001
2004,214000,1600,11888
2007,286980,1600,19132
2000,298000,2500,13545
2016,64000,998,10666
2018,63000,1200,15750
2010,204000,1500,17000
2011,167000,1800,15181
2010,173000,1800,14416
2000,289000,2800,13136
2006,350000,2000,21875
2016,109000,1580,18166
1994,364000,1332,13000
2007,110000,2500,7333
2017,87000,900,17400
2013,173697,2000,19299
1998,333000,2000,13875
2016,47400,1998,7900
1989,555000,2000,16818
2015,245000,2000,35000
2013,147000,1400,16333
2013,178631,1364,19847
2005,305000,2000,17941
2009,189000,1800,14538
2011,192800,1500,17527
2001,111111,1100,5291
2014,93000,1200,11625
2016,139000,2200,23166
2006,199709,1200,12481
2011,189000,1400,17181
2013,68000,1400,7555
2006,260000,1500,16250
2012,196000,1400,19600
2016,165000,1600,27500
2004,190000,2000,10555
2019,23843,900,7947
2006,220000,3000,13750
2010,221000,1600,18416
2010,239352,2148,19946
1993,288000,1600,9931
2006,260000,3000,16250
2016,162849,2000,27141
2004,123456,1400,6858
2010,294000,2200,24500
2013,187415,1500,20823
1993,343000,3200,11827
2002,6350,1300,317
1999,316000,2800,13739
2004,196500,1800,10916
2017,67000,2000,13400
2006,250000,2700,15625
1977,9999,1111,222
2005,24050,2000,1414
2012,147430,1800,14743
2015,221619,1500,31659
1998,240000,2300,10000
2010,158890,1500,13240
2005,322000,2000,18941
2009,154737,1400,11902
2013,63000,3000,7000
2009,240000,1995,18461
2012,192122,1400,19212
2012,150000,1400,15000
2013,101546,2013,11282
2019,35007,1998,11669
2017,145268,2000,29053
2009,168365,1300,12951
2001,333333,2000,15873
2011,55000,1600,5000
2001,222222,1800,10582
2016,198000,2400,33000
2006,193000,3200,12062
2004,260000,1500,14444
2007,159500,1400,10633
1999,170000,1500,7391
2003,190000,2000,10000
2008,31000,1500,2214
2001,317000,3200,15095
2003,300000,2000,15789
1991,80000,1400,2580
1985,120000,1300,3243
2004,330000,1800,18333
2001,256699,1900,12223
2008,172695,2000,12335
2007,120000,1700,8000
2009,140000,1400,10769
2005,156000,2500,9176
2003,380000,3000,20000
2012,164554,1400,16455
2020,30000,1600,15000
2015,135000,1500,19285
2000,111111,1900,5050
2012,95000,2000,9500
2008,261000,1600,18642
2005,340000,1897,20000
2005,162000,1600,9529
2005,135000,1400,7941
2012,270000,2200,27000
2012,216000,2200,21600
2011,298000,1600,27090
2017,163000,1500,32600
1992,20023,1000,667
2018,64000,1995,16000
1988,57815,887,1700
2016,35300,2000,5883
2006,180000,1500,11250
2014,190000,1500,23750
2013,183200,1500,20355
2012,333223,2000,33322
2000,157000,1800,7136
2009,185000,1500,14230
2005,19800,2400,1164
2013,153000,2500,17000
2019,6000,1600,2000
2011,198000,1400,18000
1990,300000,1600,9375
2017,112000,2967,22400
2019,44000,1460,14666
2009,191000,2000,14692
2011,212000,2000,19272
2016,50000,1950,8333
2009,289020,1500,22232
2015,85000,1800,12142
2000,230235,1400,10465
2009,80000,1500,6153
2007,134000,2200,8933
1994,280000,2000,10000
2015,186000,1999,26571
2016,111220,3456,18536
2014,214001,2200,26750
2004,315000,2995,17500
2005,140000,1998,8235
2004,370000,2700,20555
2011,220000,2200,20000
1994,230000,1500,8214
1996,244000,1800,9384
2008,12000,1000,857
2005,227212,2200,13365
2009,185000,1400,14230
2003,260000,3200,13684
2006,197000,1910,12312
2004,267214,1997,14845
2000,200000,1900,9090
2013,146000,1300,16222
2001,300000,2200,14285
2012,174000,1500,17400
1998,268000,1800,11166
2016,134000,1600,22333
1992,480000,3200,16000
2009,300000,1400,23076
2015,160000,2500,22857
2013,200000,2200,22222
2017,104520,1500,20904
2013,15000,1500,1666
2006,214567,1500,13410
2011,206000,1400,18727
2007,213000,1600,14200
1999,111111,2000,4830
2007,202000,2200,13466
2009,128000,1600,9846
2009,232000,1900,17846
2004,140000,1600,7777
2009,215000,2000,16538
1998,314005,2497,13083
2008,178000,1300,12714
2001,150000,2000,7142
2011,108000,1800,9818
2016,156500,1700,26083
2015,159053,1999,22721
1998,230000,2000,9583
2007,243000,1800,16200
2003,111111,1800,5847
2015,128000,2000,18285
2001,230000,1600,10952
2002,111111,2500,5555
2011,180000,2200,16363
2006,250000,3000,15625
2012,163059,1400,16305
2007,112663,1500,7510
2013,130000,898,14444
2006,358443,2200,22402
2013,103000,1200,11444
2013,114000,2000,12666
2013,223493,1500,24832
2012,160000,2200,16000
1993,400000,2000,13793
2010,260000,1400,21666
2002,215000,2000,10750
2018,20000,2000,5000
2007,150000,1600,10000
2013,86000,1200,9555
2009,160000,1200,12307
2017,78000,1596,15600
2006,180000,2000,11250
2006,289000,2500,18062
2016,180328,2000,30054
2013,222500,3500,24722
2016,50000,1950,8333
2013,223000,2000,24777
2005,260000,2500,15294
2018,72000,1461,18000
2004,335000,2200,18611
2013,77000,2500,8555
2003,25000,1600,1315
2013,180000,2000,20000
2009,214343,2000,16487
2019,44000,1460,14666
2013,122000,1385,13555
2016,162000,1995,27000
2010,123000,1000,10250
2002,220000,3000,11000
2014,200000,1800,25000
2012,270000,2500,27000
1994,227000,1800,8107
2012,214000,2000,21400
2005,300000,1400,17647
2013,124000,2000,13777
2018,124700,1500,31175
2016,80000,1600,13333
2001,221600,3148,10552
2016,145000,1500,24166
2017,82000,2000,16400
2000,230000,2000,10454
2015,168000,1500,24000
