Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,mileage,Engine_class
Volkswagen,Transporter,2012,Universal,220000,2000,Diesel,Manual,9699,10,22000,high,Mid-capacity
Audi,Q5,2016,SUV,54700,2000,Petrol,Automatic,19999,6,9116,low,Mid-capacity
Land Rover,Range Rover Evoque,2012,Crossover,190000,2000,Petrol,Automatic,15499,10,19000,medium,Mid-capacity
Skoda,Octavia,2015,Universal,191000,1600,Diesel,Manual,12699,7,27285,high,Low-capacity
Mercedes,E Class,2015,Sedan,203000,2000,Metan/Propan,Automatic,14499,7,29000,high,Mid-capacity
Mercedes,Vito,2012,Universal,261000,2200,Diesel,Automatic,11499,10,26100,high,Mid-capacity
Opel,Astra,2011,Universal,186000,1300,Diesel,Manual,6699,11,16909,medium,Low-capacity
Nissan,Qashqai,2014,Crossover,146000,1500,Diesel,Manual,12699,8,18250,medium,Low-capacity
Mercedes,E Class,2013,Universal,199000,2200,Diesel,Automatic,17499,9,22111,high,Mid-capacity
Chevrolet,Trax,2018,Crossover,90000,1400,Petrol,Automatic,9999,4,22500,high,Low-capacity
Opel,Astra,2012,Universal,169000,1400,Petrol,Manual,5000,10,16900,medium,Low-capacity
BMW,4 series,2015,Coupe,83000,2000,Petrol,Automatic,18000,7,11857,medium,Mid-capacity
Mitsubishi,Pajero Sport,2011,Crossover,256000,2500,Diesel,Manual,12350,11,23272,high,Mid-capacity
Renault,Scenic,2013,Universal,163000,1500,Diesel,Automatic,8999,9,18111,medium,Low-capacity
Subaru,Trezia,2011,Hatchback,132000,1400,Diesel,Automatic,7699,11,12000,medium,Low-capacity
Mercedes,Vito,2014,Universal,209000,2200,Diesel,Manual,12199,8,26125,high,Mid-capacity
Volkswagen,Golf,2014,Combi,220000,1598,Diesel,Automatic,9950,8,27500,high,Low-capacity
Dacia,Logan,2007,Minivan,193000,1390,Metan/Propan,Manual,2899,15,12866,medium,Low-capacity
Fiat,Punto,2011,Hatchback,114000,1400,Petrol,Automatic,5999,11,10363,medium,Low-capacity
Toyota,Prius,2019,Sedan,17000,1800,Hybrid,Automatic,19999,3,5666,low,Mid-capacity
Skoda,Superb,2015,Sedan,102000,2000,Petrol,Automatic,16500,7,14571,medium,Mid-capacity
Mercedes,Vito,2013,Universal,232000,2200,Diesel,Manual,11499,9,25777,high,Mid-capacity
Volkswagen,Polo,2011,Hatchback,170100,1199,Diesel,Manual,5350,11,15463,medium,Low-capacity
Subaru,Crosstrek,2013,Crossover,82000,2000,Petrol,Automatic,10799,9,9111,low,Mid-capacity
Mercedes,M Class,2008,SUV,336600,3200,Diesel,Automatic,14000,14,24042,high,Mid-capacity
Toyota,Prius,2010,Sedan,189000,1800,Hybrid,Automatic,8199,12,15750,medium,Mid-capacity
Mercedes,Vito,2013,Universal,299000,2200,Diesel,Automatic,10999,9,33222,high,Mid-capacity
Mitsubishi,Outlander,2014,Crossover,245000,2000,Plug-in Hybrid,Automatic,12000,8,30625,high,Mid-capacity
Nissan,Note,2012,Hatchback,187000,1500,Diesel,Manual,6999,10,18700,medium,Low-capacity
Hyundai,Tucson,2015,Crossover,153000,2000,Diesel,Automatic,17900,7,21857,high,Mid-capacity
Lexus,CT Series,2012,Hatchback,128000,1800,Hybrid,Automatic,12500,10,12800,medium,Mid-capacity
Mercedes,Vito,2011,Universal,289000,2200,Diesel,Manual,9399,11,26272,high,Mid-capacity
Volvo,XC90,2007,Crossover,270000,3200,Metan/Propan,Automatic,8800,15,18000,medium,Mid-capacity
Hyundai,Santa FE,2014,Crossover,155000,2000,Petrol,Automatic,14999,8,19375,high,Mid-capacity
Mercedes,E Class,2015,Sedan,229000,2000,Metan/Propan,Automatic,15999,7,32714,high,Mid-capacity
Skoda,Fabia,2016,Universal,174000,1400,Diesel,Manual,6999,6,29000,high,Low-capacity
Seat,Ibiza,2011,Universal,161200,1199,Diesel,Manual,4900,11,14654,medium,Low-capacity
Renault,Talisman,2016,Sedan,131000,1500,Diesel,Manual,10999,6,21833,high,Low-capacity
Volkswagen,Caddy,2013,Microvan,188400,2000,Diesel,Manual,7700,9,20933,high,Mid-capacity
Volkswagen,Transporter,2010,Universal,242600,2000,Diesel,Manual,8599,12,20216,high,Mid-capacity
Volvo,XC90,2013,Crossover,208000,2400,Diesel,Automatic,19999,9,23111,high,Mid-capacity
Toyota,Auris,2012,Hatchback,157000,1800,Hybrid,Automatic,8599,10,15700,medium,Mid-capacity
Lexus,IS Series,2016,Sedan,170000,2500,Hybrid,Automatic,17500,6,28333,high,Mid-capacity
Hyundai,Sonata,2014,Universal,194000,2000,Metan/Propan,Automatic,10599,8,24250,high,Mid-capacity
Audi,Q5,2015,Crossover,111000,2000,Petrol,Automatic,19799,7,15857,medium,Mid-capacity
Nissan,Qashqai,2011,Crossover,180000,1500,Diesel,Manual,8899,11,16363,medium,Low-capacity
Audi,A6,2012,Sedan,193000,2000,Diesel,Automatic,17600,10,19300,high,Mid-capacity
Mercedes,M Class,2008,SUV,260000,3000,Diesel,Automatic,18000,14,18571,medium,Mid-capacity
Hyundai,Tucson,2010,Crossover,125000,2000,Metan/Propan,Manual,9699,12,10416,medium,Mid-capacity
Audi,A4,2012,Universal,173000,2000,Petrol,Automatic,14999,10,17300,medium,Mid-capacity
Volkswagen,Golf,2010,Universal,200000,1200,Petrol,Manual,5500,12,16666,medium,Low-capacity
Toyota,Yaris,2018,Hatchback,28000,1000,Petrol,Manual,8150,4,7000,low,Microlitre
Toyota,Auris,2013,Hatchback,180600,1800,Hybrid,Automatic,10700,9,20066,high,Mid-capacity
Toyota,Auris,2012,Hatchback,157000,1800,Hybrid,Automatic,8599,10,15700,medium,Mid-capacity
Lexus,IS Series,2016,Sedan,170000,2500,Hybrid,Automatic,17500,6,28333,high,Mid-capacity
Hyundai,Sonata,2014,Universal,194000,2000,Metan/Propan,Automatic,10599,8,24250,high,Mid-capacity
Audi,Q5,2015,Crossover,111000,2000,Petrol,Automatic,19799,7,15857,medium,Mid-capacity
Nissan,Qashqai,2011,Crossover,180000,1500,Diesel,Manual,8899,11,16363,medium,Low-capacity
Audi,A6,2012,Sedan,193000,2000,Diesel,Automatic,17600,10,19300,high,Mid-capacity
Mercedes,M Class,2008,SUV,260000,3000,Diesel,Automatic,18000,14,18571,medium,Mid-capacity
BMW,X1,2017,Crossover,47000,2000,Petrol,Automatic,22500,5,9400,low,Mid-capacity
Ford,Fusion,2014,Sedan,107000,2000,Plug-in Hybrid,Automatic,11999,8,13375,medium,Mid-capacity
Seat,Alhambra,2012,Universal,157000,1400,Petrol,Automatic,10199,10,15700,medium,Low-capacity
Opel,Combo,2013,Universal,179000,1400,Metan/Propan,Manual,4999,9,19888,high,Low-capacity
Mercedes,CLA,2016,Universal,84000,1461,Diesel,Manual,18900,6,14000,medium,Low-capacity
BMW,5 Series,2017,Sedan,61700,2000,Diesel,Automatic,33999,5,12340,medium,Mid-capacity
BMW,3 Series,2005,Sedan,132000,1971,Petrol,Automatic,6700,17,7764,low,Mid-capacity
Peugeot,206,2010,Hatchback,158000,1400,Diesel,Manual,2900,12,13166,medium,Low-capacity
Toyota,Verso-S,2012,Hatchback,160000,1400,Diesel,Manual,6999,10,16000,medium,Low-capacity
Opel,Zafira,2015,Universal,139000,1400,Petrol,Automatic,9199,7,19857,high,Low-capacity
Hyundai,H200,2000,Minivan,250000,2500,Diesel,Manual,2300,22,11363,medium,Mid-capacity
BMW,3 Series,2015,Universal,199000,2000,Diesel,Automatic,15000,7,28428,high,Mid-capacity
Citroen,DS3,2012,Hatchback,172500,1400,Diesel,Automatic,6350,10,17250,medium,Low-capacity
Toyota,C-HR,2018,Crossover,100000,1800,Hybrid,Automatic,19000,4,25000,high,Mid-capacity
Nissan,Qashqai,2017,Crossover,126000,1500,Diesel,Manual,15499,5,25200,high,Low-capacity
BMW,5 Series,2012,Universal,234000,1998,Diesel,Automatic,15500,10,23400,high,Mid-capacity
Audi,A3,2012,Hatchback,158000,1400,Petrol,Automatic,8499,10,15800,medium,Low-capacity
Audi,Q5,2017,Crossover,52000,2000,Petrol,Automatic,22699,5,10400,medium,Mid-capacity
Volkswagen,Passat,2014,Sedan,166000,1798,Petrol,Automatic,9599,8,20750,high,Low-capacity
Mercedes,E Class,2016,Sedan,194000,2200,Diesel,Automatic,27999,6,32333,high,Mid-capacity
Renault,Scenic,2013,Hatchback,255000,1500,Diesel,Manual,6399,9,28333,high,Low-capacity
Toyota,Corolla,2007,Sedan,229000,1400,Diesel,Manual,6599,15,15266,medium,Low-capacity
Mercedes,Vito,2010,Universal,268000,2200,Diesel,Manual,8999,12,22333,high,Mid-capacity
Hyundai,i40,2012,Universal,190000,1700,Diesel,Automatic,10199,10,19000,medium,Low-capacity
Mercedes,Vito,2010,Universal,255000,2200,Diesel,Manual,8699,12,21250,high,Mid-capacity
Volvo,XC90,2006,Crossover,32400,2400,Diesel,Manual,7050,16,2025,low,Mid-capacity
Toyota,Auris,2010,Hatchback,199000,1400,Diesel,Manual,6199,12,16583,medium,Low-capacity
Audi,A5,2013,Coupe,141000,2000,Petrol,Automatic,13999,9,15666,medium,Mid-capacity
Toyota,Auris,2016,Universal,146000,1800,Hybrid,Automatic,11199,6,24333,high,Mid-capacity
Mercedes,C Class,2009,Universal,220000,2200,Diesel,Manual,8699,13,16923,medium,Mid-capacity
Nissan,Almera,2005,Hatchback,284431,1500,Diesel,Manual,3000,17,16731,medium,Low-capacity
Volkswagen,Golf,2013,Universal,177000,1400,Petrol,Automatic,8999,9,19666,high,Low-capacity
Mercedes,GLK Class,2011,Crossover,189000,2200,Diesel,Automatic,16999,11,17181,medium,Mid-capacity
Volkswagen,Golf,2011,Hatchback,137000,1400,Petrol,Manual,7199,11,12454,medium,Low-capacity
Mercedes,GLK Class,2013,Crossover,160000,2200,Diesel,Automatic,19999,9,17777,medium,Mid-capacity
Volvo,XC60,2017,Crossover,138500,2000,Diesel,Automatic,24800,5,27700,high,Mid-capacity
Toyota,Auris,2016,Universal,128000,1800,Hybrid,Automatic,12500,6,21333,high,Mid-capacity
Volkswagen,Golf,2011,Hatchback,151000,1400,Petrol,Manual,7999,11,13727,medium,Low-capacity
Skoda,Superb,2012,Sedan,140000,1400,Petrol,Manual,8799,10,14000,medium,Low-capacity
Volkswagen,Passat,2006,Sedan,375000,2000,Diesel,Manual,5500,16,23437,high,Mid-capacity
Volkswagen,Transporter,2011,Universal,266000,2000,Diesel,Manual,10999,11,24181,high,Mid-capacity
Skoda,Octavia,2014,Sedan,140000,1400,Petrol,Manual,8900,8,17500,medium,Low-capacity
Opel,Astra,2015,Universal,170000,1400,Metan/Propan,Manual,7999,7,24285,high,Low-capacity
Mercedes,Citan,2015,Minivan,198000,1500,Diesel,Manual,6199,7,28285,high,Low-capacity
Audi,Allroad,2012,Universal,173000,2000,Petrol,Automatic,14999,10,17300,medium,Mid-capacity
Renault,Grand Scenic,2015,Universal,168000,1461,Diesel,Automatic,8999,7,24000,high,Low-capacity
Lexus,IS Series,2016,Sedan,178000,2500,Hybrid,Automatic,16900,6,29666,high,Mid-capacity
Audi,A6,2001,Universal,299000,2500,Diesel,Manual,5699,21,14238,medium,Mid-capacity
Skoda,Fabia,2011,Universal,181000,1200,Diesel,Manual,4899,11,16454,medium,Low-capacity
Skoda,Superb,2013,Sedan,142000,2000,Diesel,Automatic,15999,9,15777,medium,Mid-capacity
Audi,A4,2012,Universal,168000,2000,Petrol,Automatic,12199,10,16800,medium,Mid-capacity
Audi,A4,2013,Universal,199000,1800,Petrol,Automatic,10499,9,22111,high,Mid-capacity
Volkswagen,Golf,2011,Universal,161000,1400,Petrol,Manual,7300,11,14636,medium,Low-capacity
Mercedes,E Class,2006,Sedan,333333,2200,Diesel,Manual,6800,16,20833,high,Mid-capacity
Volkswagen,Golf,2015,Hatchback,191000,1400,Plug-in Hybrid,Automatic,11999,7,27285,high,Low-capacity
Mercedes,B Class,2011,Minivan,203150,2000,Metan/Propan,Automatic,6499,11,18468,medium,Mid-capacity
Audi,Q5,2013,Crossover,185000,2000,Diesel,Automatic,20599,9,20555,high,Mid-capacity
Skoda,Octavia RS,2014,Universal,144000,2000,Petrol,Automatic,13699,8,18000,medium,Mid-capacity
Volkswagen,Polo,2011,Hatchback,180000,1200,Diesel,Manual,5500,11,16363,medium,Low-capacity
Opel,Astra,2015,Universal,170000,1400,Metan/Propan,Manual,7999,7,24285,high,Low-capacity
Audi,A5,2013,Coupe,141000,2000,Petrol,Automatic,13999,9,15666,medium,Mid-capacity
Toyota,Auris,2016,Universal,146000,1800,Hybrid,Automatic,11199,6,24333,high,Mid-capacity
Lexus,IS Series,2016,Sedan,178000,2500,Hybrid,Automatic,16900,6,29666,high,Mid-capacity
Mercedes,C Class,2009,Universal,220000,2200,Diesel,Manual,8699,13,16923,medium,Mid-capacity
Volkswagen,Tiguan,2011,Crossover,133000,1400,Petrol,Manual,8199,11,12090,medium,Low-capacity
Skoda,Superb,2012,Sedan,130000,1800,Petrol,Manual,10599,10,13000,medium,Mid-capacity
Nissan,Almera,2005,Hatchback,284431,1500,Diesel,Manual,3000,17,16731,medium,Low-capacity
Volkswagen,Golf,2013,Universal,177000,1400,Petrol,Automatic,8999,9,19666,high,Low-capacity
Audi,A4,2013,Universal,199000,1800,Petrol,Automatic,10499,9,22111,high,Mid-capacity
Volkswagen,Golf,2011,Universal,161000,1400,Petrol,Manual,7300,11,14636,medium,Low-capacity
Mercedes,E Class,2006,Sedan,333333,2200,Diesel,Manual,6800,16,20833,high,Mid-capacity
Subaru,Forester,2008,Universal,175412,2000,Metan/Propan,Automatic,6500,14,12529,medium,Mid-capacity
BMW,X6,2015,SUV,128500,3000,Diesel,Automatic,38500,7,18357,medium,Mid-capacity
Hyundai,Tucson,2017,Crossover,55000,2000,Petrol,Automatic,16200,5,11000,medium,Mid-capacity
BMW,X3,2020,SUV,16000,2000,Petrol,Automatic,26500,2,8000,low,Mid-capacity
Volvo,XC60,2009,Crossover,156000,2400,Diesel,Automatic,14200,13,12000,medium,Mid-capacity
Skoda,Superb,2016,Hatchback,176000,2000,Diesel,Automatic,17499,6,29333,high,Mid-capacity
Ford,C-Max,2013,Universal,174000,2000,Hybrid,Automatic,7999,9,19333,high,Mid-capacity
Hyundai,ix35,2014,Crossover,165250,1700,Diesel,Manual,11499,8,20656,high,Low-capacity
Volkswagen,Transporter,2011,Universal,219000,2000,Diesel,Manual,9199,11,19909,high,Mid-capacity
Porsche,Cayenne,2015,SUV,122450,3000,Diesel,Automatic,38500,7,17492,medium,Mid-capacity
Opel,Zafira,2000,Minivan,254210,2000,Diesel,Manual,3199,22,11555,medium,Mid-capacity
Toyota,Avensis,2009,Sedan,220000,2200,Diesel,Manual,8990,13,16923,medium,Mid-capacity
BMW,M Models,2018,Sedan,51200,4400,Petrol,Automatic,85000,4,12800,medium,Large-capacity
KIA,Sportage,2019,SUV,47000,1600,Petrol,Automatic,18100,3,15666,medium,Low-capacity
Hyundai,Tucson,2016,SUV,138000,1985,Diesel,Automatic,17900,6,23000,high,Mid-capacity
Toyota,Auris,2018,Hatchback,13000,1798,Hybrid,Automatic,18200,4,3250,low,Low-capacity
Toyota,Camry,2017,Sedan,56000,2500,Hybrid,Automatic,17400,5,11200,medium,Mid-capacity
Vaz,2121niva,1988,SUV,62000,1600,Petrol,Manual,3300,34,1823,low,Low-capacity
Toyota,Prius,2017,Sedan,78000,1800,Hybrid,Automatic,13499,5,15600,medium,Mid-capacity
Mercedes,E Class,2012,Sedan,257000,1800,Metan/Propan,Automatic,13699,10,25700,high,Mid-capacity
Dacia,Logan,2017,Sedan,139182,1500,Diesel,Manual,7999,5,27836,high,Low-capacity
Volkswagen,Sharan,2011,Microvan,183784,1400,Petrol,Manual,9950,11,16707,medium,Low-capacity
BMW,5 Series,2017,Sedan,65000,2000,Diesel,Automatic,41999,5,13000,medium,Mid-capacity
Ford,Transit Connect,2010,Minivan,181000,1800,Diesel,Manual,4999,12,15083,medium,Mid-capacity
Toyota,Camry,2013,Sedan,126000,2500,Hybrid,Automatic,12399,9,14000,medium,Mid-capacity
Volvo,XC60,2014,Crossover,182000,2000,Diesel,Automatic,18999,8,22750,high,Mid-capacity
Audi,A1,2012,Hatchback,144000,1400,Petrol,Automatic,11199,10,14400,medium,Low-capacity
Chevrolet,Trax,2018,Crossover,61500,1400,Petrol,Automatic,11699,4,15375,medium,Low-capacity
Audi,A6,2001,Sedan,270000,2500,Diesel,Automatic,5499,21,12857,medium,Mid-capacity
Honda,CR-V,2015,Crossover,171000,1600,Diesel,Automatic,18999,7,24428,high,Low-capacity
Mercedes,Vito,2009,Universal,268000,2200,Diesel,Manual,8199,13,20615,high,Mid-capacity
Citroen,DS3,2010,Hatchback,60000,1600,Petrol,Manual,7699,12,5000,low,Low-capacity
Skoda,Octavia,2015,Universal,220000,1400,Petrol,Automatic,8499,7,31428,high,Low-capacity
Chevrolet,Trax,2019,Crossover,67000,1400,Petrol,Automatic,10999,3,22333,high,Low-capacity
BMW,5 Series,2012,Sedan,140000,2000,Petrol,Automatic,14999,10,14000,medium,Mid-capacity
Audi,A6,2011,Sedan,92000,3000,Petrol,Automatic,15900,11,8363,low,Mid-capacity
BMW,X4,2014,Crossover,191000,2000,Petrol,Automatic,20500,8,23875,high,Mid-capacity
Mercedes,GLK Class,2012,Crossover,130000,2200,Diesel,Automatic,16999,10,13000,medium,Mid-capacity
Mercedes,GLK Class,2013,Crossover,137000,2200,Diesel,Automatic,19999,9,15222,medium,Mid-capacity
Toyota,Avalon,2016,Sedan,170000,2500,Hybrid,Automatic,19199,6,28333,high,Mid-capacity
KIA,Sportage,2012,Crossover,84000,2000,Petrol,Automatic,11750,10,8400,low,Mid-capacity
BMW,X5,2011,SUV,155000,3000,Diesel,Automatic,24650,11,14090,medium,Mid-capacity
Dacia,Logan,2005,Sedan,600000,1400,Metan/Propan,Manual,1400,17,35294,high,Low-capacity
Mazda,3,2014,Sedan,68000,2000,Petrol,Automatic,10500,8,8500,low,Mid-capacity
Skoda,Superb,2011,Sedan,176000,1400,Petrol,Manual,7000,11,16000,medium,Low-capacity
Opel,Astra,2000,Universal,230000,1800,Petrol,Manual,2000,22,10454,medium,Mid-capacity
Mitsubishi,Outlander,2013,Crossover,203000,2000,Plug-in Hybrid,Automatic,12700,9,22555,high,Mid-capacity
Dacia,Logan Mcv,2016,Universal,137290,1500,Diesel,Manual,8299,6,22881,high,Low-capacity
Ford,Fiesta 5D,2009,Hatchback,129500,1400,Diesel,Manual,5500,13,9961,low,Low-capacity
Dacia,Duster,2011,Crossover,210000,1461,Diesel,Manual,7390,11,19090,high,Low-capacity
Toyota,Camry,2016,Sedan,25000,2500,Hybrid,Automatic,16300,6,4166,low,Mid-capacity
Nissan,Micra,2005,Hatchback,258000,1400,Petrol,Automatic,3500,17,15176,medium,Low-capacity
BMW,5 Series,2018,Sedan,54000,2993,Diesel,Automatic,45500,4,13500,medium,Mid-capacity
Seat,Ibiza,2013,Universal,186500,1200,Diesel,Manual,5350,9,20722,high,Low-capacity
BMW,X6,2017,Coupe,159000,2998,Diesel,Automatic,44600,5,31800,high,Mid-capacity
Mercedes,Viano,2006,Microvan,235000,2200,Diesel,Manual,8200,16,14687,medium,Mid-capacity
Renault,Captur,2015,Universal,73000,1200,Petrol,Automatic,10999,7,10428,medium,Low-capacity
Seat,Ibiza,2013,Universal,186500,1200,Diesel,Manual,5350,9,20722,high,Low-capacity
BMW,X6,2017,Coupe,159000,2998,Diesel,Automatic,44600,5,31800,high,Mid-capacity
Mercedes,Viano,2006,Microvan,235000,2200,Diesel,Manual,8200,16,14687,medium,Mid-capacity
Renault,Captur,2015,Universal,73000,1200,Petrol,Automatic,10999,7,10428,medium,Low-capacity
Volkswagen,Caddy,2013,Minivan,119000,1600,Diesel,Manual,8499,9,13222,medium,Low-capacity
Lincoln,MKZ,2013,Sedan,180000,2000,Hybrid,Automatic,12499,9,20000,high,Mid-capacity
Volkswagen,Caddy,2011,Combi,138000,1600,Diesel,Manual,4999,11,12545,medium,Low-capacity
Mazda,6,2008,Sedan,220000,1800,Petrol,Manual,6499,14,15714,medium,Mid-capacity
Mazda,323,2003,Hatchback,340000,1600,Petrol,Manual,2399,19,17894,medium,Low-capacity
BMW,5 Series,2002,Sedan,264000,2000,Metan/Propan,Manual,3699,20,13200,medium,Mid-capacity
Opel,Astra,2011,Universal,169000,1300,Diesel,Manual,5899,11,15363,medium,Low-capacity
Audi,A6,2016,Sedan,119000,2000,Petrol,Manual,22999,6,19833,high,Mid-capacity
BMW,X5,2014,SUV,175000,3000,Diesel,Automatic,39999,8,21875,high,Mid-capacity
Dacia,Dokker,2013,Minivan,135000,1200,Petrol,Manual,5899,9,15000,medium,Low-capacity
Volkswagen,Caddy,2000,Combi,100000,1900,Diesel,Manual,500,22,4545,low,Mid-capacity
Land Rover,Range Rover,2011,SUV,230000,3600,Diesel,Automatic,23999,11,20909,high,Large-capacity
Toyota,Prius +,2012,Universal,187000,1800,Hybrid,Automatic,9299,10,18700,medium,Mid-capacity
Nissan,Qashqai,2011,Crossover,174000,1500,Diesel,Manual,8249,11,15818,medium,Low-capacity
Chevrolet,Cruze,2018,Sedan,47000,1400,Petrol,Automatic,9699,4,11750,medium,Low-capacity
Volkswagen,Passat,2017,Sedan,80000,2000,Petrol,Automatic,14399,5,16000,medium,Mid-capacity
Audi,Q7,2017,SUV,50000,3000,Petrol,Automatic,38999,5,10000,low,Mid-capacity
Skoda,Rapid,2018,Sedan,47000,1000,Petrol,Manual,10799,4,11750,medium,Microlitre
Toyota,Land Cruiser,2008,SUV,160000,4600,Petrol,Automatic,21999,14,11428,medium,Large-capacity
Volkswagen,Polo,2011,Hatchback,180000,1200,Petrol,Manual,5700,11,16363,medium,Low-capacity
Renault,Modus,2008,Sedan,199000,1460,Diesel,Automatic,3650,14,14214,medium,Low-capacity
Honda,CR-V,2005,SUV,170000,2000,Metan/Propan,Automatic,8100,17,10000,low,Mid-capacity
Fiat,Doblo Cargo,2012,Universal,167000,1300,Diesel,Manual,4350,10,16700,medium,Low-capacity
Chevrolet,Captiva,2012,Crossover,150220,2400,Petrol,Automatic,9600,10,15022,medium,Mid-capacity
Porsche,Macan,2019,SUV,44000,2000,Petrol,Automatic,54990,3,14666,medium,Mid-capacity
Toyota,Yaris,2013,Hatchback,160000,1500,Hybrid,Automatic,7900,9,17777,medium,Low-capacity
Toyota,Land Cruiser Prado,2008,SUV,70000,2694,Metan/Propan,Automatic,19000,14,5000,low,Mid-capacity
Ford,Fusion,2014,Sedan,160000,1999,Plug-in Hybrid,Automatic,11850,8,20000,high,Mid-capacity
Volkswagen,Touran,2007,Universal,256000,1400,Petrol,Automatic,6000,15,17066,medium,Low-capacity
Dacia,Logan Mcv,2008,Universal,387300,1400,Metan/Propan,Manual,2750,14,27664,high,Low-capacity
Audi,A4,2012,Universal,192000,2000,Diesel,Automatic,15499,10,19200,high,Mid-capacity
Subaru,Trezia,2011,Hatchback,178000,1400,Diesel,Automatic,6999,11,16181,medium,Low-capacity
Audi,A4,2008,Universal,198000,2000,Diesel,Automatic,7999,14,14142,medium,Mid-capacity
Skoda,Octavia,2010,Universal,176000,1200,Petrol,Manual,6799,12,14666,medium,Low-capacity
Lexus,RX Series,2010,Crossover,179000,3500,Hybrid,Automatic,18600,12,14916,medium,Large-capacity
Renault,Kadjar,2016,Crossover,121468,1500,Diesel,Automatic,12699,6,20244,high,Low-capacity
Chevrolet,Aveo,2004,Sedan,230000,1598,Petrol,Automatic,2600,18,12777,medium,Low-capacity
Honda,Jazz,2011,Hatchback,140000,1400,Hybrid,Automatic,7699,11,12727,medium,Low-capacity
Volkswagen,Golf,2011,Hatchback,175300,1400,Petrol,Manual,7600,11,15936,medium,Low-capacity
Volkswagen,Sharan,2010,Universal,198000,2000,Diesel,Manual,12199,12,16500,medium,Mid-capacity
BMW,X6,2017,Crossover,123000,3000,Diesel,Automatic,51999,5,24600,high,Mid-capacity
Volvo,XC90,2010,Crossover,198600,2400,Diesel,Automatic,18000,12,16550,medium,Mid-capacity
Nissan,Qashqai,2010,Crossover,174300,1500,Diesel,Manual,8700,12,14525,medium,Low-capacity
Ford,Fusion,2018,Sedan,134000,2000,Hybrid,Automatic,16499,4,33500,high,Mid-capacity
Mercedes,E Class,2017,Sedan,34000,2000,Petrol,Automatic,35000,5,6800,low,Mid-capacity
Skoda,Rapid,2020,Sedan,17000,1600,Petrol,Manual,13000,2,8500,low,Low-capacity
Renault,Clio,2015,Universal,164642,1500,Diesel,Automatic,7999,7,23520,high,Low-capacity
KIA,Niro,2017,Hatchback,122000,1600,Hybrid,Automatic,13400,5,24400,high,Low-capacity
Lexus,RX Series,2013,Crossover,122223,3500,Hybrid,Automatic,21500,9,13580,medium,Large-capacity
BMW,5 Series,2014,Sedan,130000,2000,Diesel,Automatic,18799,8,16250,medium,Mid-capacity
Mercedes,Viano,2006,SUV,273000,2200,Diesel,Manual,8500,16,17062,medium,Mid-capacity
Nissan,Note,2006,Hatchback,250000,1500,Diesel,Manual,3799,16,15625,medium,Low-capacity
Skoda,Octavia,2017,Sedan,70000,1400,Petrol,Automatic,16500,5,14000,medium,Low-capacity
Audi,A4,2003,Sedan,278412,2500,Diesel,Manual,3700,19,14653,medium,Mid-capacity
Audi,A5,2015,Cabriolet,57000,2000,Petrol,Automatic,12999,7,8142,low,Mid-capacity
BMW,3 Series,2016,Universal,187000,2000,Diesel,Automatic,14999,6,31166,high,Mid-capacity
Volkswagen,Passat,1995,Sedan,350000,1800,Petrol,Manual,2000,27,12962,medium,Mid-capacity
Dacia,Logan,2014,Sedan,138000,1200,Metan/Propan,Manual,4699,8,17250,medium,Low-capacity
Peugeot,206,2000,Hatchback,146000,1400,Metan/Propan,Automatic,2599,22,6636,low,Low-capacity
Land Rover,Range Rover Evoque,2014,Crossover,144000,2200,Diesel,Automatic,17999,8,18000,medium,Mid-capacity
Opel,Meriva,2011,Universal,219000,1300,Diesel,Manual,4899,11,19909,high,Low-capacity
Skoda,Octavia,2007,Hatchback,200000,2000,Diesel,Manual,5799,15,13333,medium,Mid-capacity
Skoda,Fabia,2015,Universal,124000,1400,Diesel,Manual,6250,7,17714,medium,Low-capacity
BMW,5 Series,2004,Sedan,218000,3000,Diesel,Automatic,8699,18,12111,medium,Mid-capacity
Citroen,C5,2006,Universal,260000,1600,Diesel,Manual,2799,16,16250,medium,Low-capacity
Volkswagen,Golf Plus,2005,Hatchback,260000,1900,Diesel,Manual,4799,17,15294,medium,Mid-capacity
Volkswagen,Passat CC,2013,Sedan,122000,2000,Petrol,Automatic,11799,9,13555,medium,Mid-capacity
Volkswagen,Golf Plus,2005,Hatchback,260000,1900,Diesel,Manual,4799,17,15294,medium,Mid-capacity
Volkswagen,Passat CC,2013,Sedan,122000,2000,Petrol,Automatic,11799,9,13555,medium,Mid-capacity
Toyota,Urban Cruiser,2010,Crossover,195000,1400,Diesel,Manual,6500,12,16250,medium,Low-capacity
Toyota,Auris,2011,Hatchback,171000,1800,Hybrid,Automatic,9299,11,15545,medium,Mid-capacity
Skoda,Octavia,2015,Universal,180800,2000,Diesel,Automatic,14350,7,25828,high,Mid-capacity
Mercedes,E Class,2013,Sedan,204000,2200,Diesel,Automatic,18700,9,22666,high,Mid-capacity
Volkswagen,Passat,2015,Sedan,110000,1598,Diesel,Automatic,13500,7,15714,medium,Low-capacity
BMW,5 Series,1999,Sedan,200000,2500,Diesel,Automatic,1700,23,8695,low,Mid-capacity
Mercedes,M Class,2008,SUV,215000,3000,Diesel,Automatic,14500,14,15357,medium,Mid-capacity
Skoda,Roomster,2009,Universal,240000,1200,Petrol,Manual,4000,13,18461,medium,Low-capacity
